date,MHI,btc_price,dailycases,sentiment_index
2021-08-14,23.71,47081.5,533900,-0.59
2021-08-13,23.15,47809.1,805711,2.08
2021-08-12,23.62,44403.4,699546,3.16
2021-08-11,24.05,45564.3,731527,2.73
2021-08-10,23.32,45593.8,656938,3.93
2021-08-09,25.93,46284.3,653832,4.11
2021-08-08,24.56,43792.8,441592,-8.67
2021-08-07,23.25,44614.2,550887,-20.43
2021-08-06,23.78,42795.4,821817,-21.61
2021-08-05,23.66,40867.2,681172,-21.88
2021-08-04,23.11,39736.9,675227,-21.34
2021-08-03,23.7,38130.3,645395,-20.75
2021-08-02,24.96,39168.4,578073,-21.47
2021-08-01,23.61,39878.3,481301,-12.02
2021-07-31,23.71,41553.7,510128,-14.02
2021-07-30,23.24,42203.4,723099,-13.91
2021-07-29,23.88,40001.4,651910,-13.91
2021-07-28,21.81,40003.2,643277,-14.18
2021-07-27,23.58,39452,619479,-15.41
2021-07-26,25.35,37276.6,540372,-27.27
2021-07-25,25.38,35391.1,445293,-23.78
2021-07-24,25.12,33824.8,415205,-11.49
2021-07-23,23.87,33603.3,737361,-11.36
2021-07-22,23.05,32298.9,563323,-11.43
2021-07-21,21.91,32131.4,560134,-13.79
2021-07-20,23.7,29793.8,539179,-12.29
2021-07-19,23.77,30837.2,496529,-2.08
2021-07-18,22.7,31785.4,431019,-15.67
2021-07-17,22.36,31518.6,473948,-26.17
2021-07-16,21.2,31394,598288,-27.18
2021-07-15,21.15,31840.5,564225,-37.36
2021-07-14,21.49,32820.7,539764,-35.07
2021-07-13,22.23,32728.1,529640,-34.79
2021-07-12,20.16,33113,436692,-33.18
2021-07-11,19.18,34227.7,370527,-20.94
2021-07-10,20.31,33510.6,427057,-10
2021-07-09,20.55,33797.4,507480,-6.71
2021-07-08,18.88,32866.3,471525,4.42
2021-07-07,18.36,33867.8,463534,4.41
2021-07-06,21.65,34225.6,462234,4.36
2021-07-05,21.26,33687.8,369569,3.8
2021-07-04,18.75,35298.2,328519,5.7
2021-07-03,20.01,34742.8,376657,-1.3
2021-07-02,20.68,33813.4,441272,-5.46
2021-07-01,19.7,33543.6,427941,-6.59
2021-06-30,20.36,35026.9,400242,-6.59
2021-06-29,20.85,35834.7,389508,-7.26
2021-06-28,20.21,34475.9,328344,-5.94
2021-06-27,21.16,34678.5,311489,-9.27
2021-06-26,20.58,32243.4,365993,-1.29
2021-06-25,19.33,31594,421947,0.86
2021-06-24,19.71,34665.8,394108,1.85
2021-06-23,20.3,33674.3,399905,1.63
2021-06-22,20.73,32496.4,420587,0.66
2021-06-21,17.81,31692,293683,0.91
2021-06-20,21.22,35595.8,302396,2.79
2021-06-19,22.41,35513.4,349455,2.07
2021-06-18,20.58,35749.4,406888,-9.87
2021-06-17,20.6,38052,381949,-10.8
2021-06-16,21.74,38336,389876,-10.71
2021-06-15,21.05,40156.1,390839,-9.81
2021-06-14,25.27,40529.4,307382,-9.24
2021-06-13,22.8,39022.9,303676,-9.14
2021-06-12,23.39,35467.5,372856,-8.26
2021-06-11,22.55,37314.6,420949,5.19
2021-06-10,22.26,36649.4,438078,4.89
2021-06-09,20.29,37332.2,419060,5.59
2021-06-08,20.84,33382.9,379789,5.39
2021-06-07,20.61,33578,320592,-2.37
2021-06-06,20.57,35815.4,323298,-10.81
2021-06-05,23.26,35520,399224,-12.72
2021-06-04,22.11,36851.3,419736,-14.8
2021-06-03,21.69,39187.3,476545,-15.25
2021-06-02,22.74,37555.8,486846,-15.97
2021-06-01,23.91,36687.6,475356,-15.21
2021-05-31,23.38,37298.6,378836,-8.9
2021-05-30,23.44,35652.8,391852,-2.83
2021-05-29,22.33,34584.6,482277,-3.67
2021-05-28,22.92,35662.5,500600,-2.88
2021-05-27,22.36,38417.3,543585,-2
2021-05-26,22.79,39249.2,569439,-2.12
2021-05-25,23.05,38378.3,543888,-2.79
2021-05-24,22.36,38750.6,452491,-2.08
2021-05-23,22.88,34679.7,477277,-9.67
2021-05-22,25.96,37448.3,579355,-17.15
2021-05-21,23.36,37297.4,626631,-17.51
2021-05-20,22.54,40717.2,264596,-17.48
2021-05-19,22.96,36720.5,673403,-28.13
2021-05-18,24.58,42897.3,637323,-28.66
2021-05-17,23.49,43541.3,538886,-28.2
2021-05-16,22.69,46426.4,549557,-17.77
2021-05-15,24.81,46708.8,629271,-7.57
2021-05-14,24.47,49839.8,718049,-8.14
2021-05-13,23.97,49704.6,711499,-8.43
2021-05-12,24.38,49384.2,760190,3.33
2021-05-11,24.34,56695.7,754279,4.2
2021-05-10,23.79,55848.9,619070,3.84
2021-05-09,22.9,58238.3,642533,2.43
2021-05-08,25.69,58840.1,787230,-0.03
2021-05-07,23.84,57337.2,833478,-0.43
2021-05-06,23.95,56405.4,870467,-0.58
2021-05-05,24.51,57441.3,842848,-1.15
2021-05-04,24.93,53741.5,808227,-1.57
2021-05-03,22.11,57169.8,679506,-1.77
2021-05-02,25.58,56603.8,675619,-3.78
2021-05-01,24.93,57807.1,798733,-12.62
2021-04-30,23.54,57720.3,880510,-14.82
2021-04-29,23.08,53560.8,897062,-14.92
2021-04-28,25.97,54841.4,908289,-15.19
2021-04-27,24.76,55036.5,845361,-15.33
2021-04-26,27.5,54020.5,681685,-14.96
2021-04-25,23.98,48963.6,725127,-13.28
2021-04-24,25.37,50088.9,822529,-2.33
2021-04-23,22.53,51143.6,904254,1.65
2021-04-22,22.94,51729.5,899728,2.1
2021-04-21,22.67,53820.2,891586,-0.24
2021-04-20,23.63,56483.2,854254,0.81
2021-04-19,25.52,55646.1,693062,0.21
2021-04-18,25.31,56207.1,687011,2.96
2021-04-17,23.32,60041.9,788010,1.58
2021-04-16,23.82,61379.7,858176,-0.29
2021-04-15,24.62,63216,817114,-1.69
2021-04-14,26.62,62980.4,816475,-1.01
2021-04-13,24.56,63540.9,781531,-3.06
2021-04-12,25.05,59863.8,613863,-15.04
2021-04-11,24.16,59978.7,692333,-27.69
2021-04-10,25.6,59748.4,668322,-34.34
2021-04-09,25.57,58118.7,750760,-32.29
2021-04-08,26.49,58077.4,841047,-31.27
2021-04-07,27.85,55948.7,686111,-28.81
2021-04-06,26.77,57996.3,605478,-27.59
2021-04-05,27.15,58993.4,485758,-17.33
2021-04-04,27.39,58199.9,556095,-12.73
