areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,17/08/2021,300
E06000023,"Bristol, City of",ltla,16/08/2021,315
E06000023,"Bristol, City of",ltla,15/08/2021,207
E06000023,"Bristol, City of",ltla,14/08/2021,203
E06000023,"Bristol, City of",ltla,13/08/2021,235
E06000023,"Bristol, City of",ltla,12/08/2021,261
E06000023,"Bristol, City of",ltla,11/08/2021,316
E06000023,"Bristol, City of",ltla,10/08/2021,278
E06000023,"Bristol, City of",ltla,09/08/2021,329
E06000023,"Bristol, City of",ltla,08/08/2021,219
E06000023,"Bristol, City of",ltla,07/08/2021,220
E06000023,"Bristol, City of",ltla,06/08/2021,280
E06000023,"Bristol, City of",ltla,05/08/2021,310
E06000023,"Bristol, City of",ltla,04/08/2021,335
E06000023,"Bristol, City of",ltla,03/08/2021,319
E06000023,"Bristol, City of",ltla,02/08/2021,285
E06000023,"Bristol, City of",ltla,01/08/2021,197
E06000023,"Bristol, City of",ltla,31/07/2021,198
E06000023,"Bristol, City of",ltla,30/07/2021,225
E06000023,"Bristol, City of",ltla,29/07/2021,293
E06000023,"Bristol, City of",ltla,28/07/2021,391
E06000023,"Bristol, City of",ltla,27/07/2021,339
E06000023,"Bristol, City of",ltla,26/07/2021,261
E06000023,"Bristol, City of",ltla,25/07/2021,210
E06000023,"Bristol, City of",ltla,24/07/2021,191
E06000023,"Bristol, City of",ltla,23/07/2021,279
E06000023,"Bristol, City of",ltla,22/07/2021,341
E06000023,"Bristol, City of",ltla,21/07/2021,322
E06000023,"Bristol, City of",ltla,20/07/2021,446
E06000023,"Bristol, City of",ltla,19/07/2021,484
E06000023,"Bristol, City of",ltla,18/07/2021,414
E06000023,"Bristol, City of",ltla,17/07/2021,408
E06000023,"Bristol, City of",ltla,16/07/2021,712
E06000023,"Bristol, City of",ltla,15/07/2021,850
E06000023,"Bristol, City of",ltla,14/07/2021,683
E06000023,"Bristol, City of",ltla,13/07/2021,558
E06000023,"Bristol, City of",ltla,12/07/2021,507
E06000023,"Bristol, City of",ltla,11/07/2021,320
E06000023,"Bristol, City of",ltla,10/07/2021,293
E06000023,"Bristol, City of",ltla,09/07/2021,365
E06000023,"Bristol, City of",ltla,08/07/2021,392
E06000023,"Bristol, City of",ltla,07/07/2021,459
E06000023,"Bristol, City of",ltla,06/07/2021,411
E06000023,"Bristol, City of",ltla,05/07/2021,357
E06000023,"Bristol, City of",ltla,04/07/2021,312
E06000023,"Bristol, City of",ltla,03/07/2021,307
E06000023,"Bristol, City of",ltla,02/07/2021,316
E06000023,"Bristol, City of",ltla,01/07/2021,351
E06000023,"Bristol, City of",ltla,30/06/2021,329
E06000023,"Bristol, City of",ltla,29/06/2021,292
E06000023,"Bristol, City of",ltla,28/06/2021,316
E06000023,"Bristol, City of",ltla,27/06/2021,181
E06000023,"Bristol, City of",ltla,26/06/2021,170
E06000023,"Bristol, City of",ltla,25/06/2021,189
E06000023,"Bristol, City of",ltla,24/06/2021,201
E06000023,"Bristol, City of",ltla,23/06/2021,180
E06000023,"Bristol, City of",ltla,22/06/2021,159
E06000023,"Bristol, City of",ltla,21/06/2021,159
E06000023,"Bristol, City of",ltla,20/06/2021,109
E06000023,"Bristol, City of",ltla,19/06/2021,100
E06000023,"Bristol, City of",ltla,18/06/2021,125
E06000023,"Bristol, City of",ltla,17/06/2021,133
E06000023,"Bristol, City of",ltla,16/06/2021,135
E06000023,"Bristol, City of",ltla,15/06/2021,90
E06000023,"Bristol, City of",ltla,14/06/2021,122
E06000023,"Bristol, City of",ltla,13/06/2021,88
E06000023,"Bristol, City of",ltla,12/06/2021,75
E06000023,"Bristol, City of",ltla,11/06/2021,81
E06000023,"Bristol, City of",ltla,10/06/2021,67
E06000023,"Bristol, City of",ltla,09/06/2021,81
E06000023,"Bristol, City of",ltla,08/06/2021,52
E06000023,"Bristol, City of",ltla,07/06/2021,54
E06000023,"Bristol, City of",ltla,06/06/2021,42
E06000023,"Bristol, City of",ltla,05/06/2021,30
E06000023,"Bristol, City of",ltla,04/06/2021,44
E06000023,"Bristol, City of",ltla,03/06/2021,41
E06000023,"Bristol, City of",ltla,02/06/2021,32
E06000023,"Bristol, City of",ltla,01/06/2021,21
E06000023,"Bristol, City of",ltla,31/05/2021,22
E06000023,"Bristol, City of",ltla,30/05/2021,13
E06000023,"Bristol, City of",ltla,29/05/2021,18
E06000023,"Bristol, City of",ltla,28/05/2021,14
E06000023,"Bristol, City of",ltla,27/05/2021,17
E06000023,"Bristol, City of",ltla,26/05/2021,25
E06000023,"Bristol, City of",ltla,25/05/2021,17
E06000023,"Bristol, City of",ltla,24/05/2021,14
E06000023,"Bristol, City of",ltla,23/05/2021,11
E06000023,"Bristol, City of",ltla,22/05/2021,12
E06000023,"Bristol, City of",ltla,21/05/2021,10
E06000023,"Bristol, City of",ltla,20/05/2021,15
E06000023,"Bristol, City of",ltla,19/05/2021,14
