Date,MCI
2020-10-18,72.59
2020-10-19,73.41
2020-10-20,73.16
2020-10-21,74.76
2020-10-22,74.42
2020-10-23,75.13
2020-10-24,74.42
2020-10-25,73.85
2020-10-26,74.17
2020-10-27,73.1
2020-10-28,74.82
2020-10-29,75.19
2020-10-30,75.78
2020-10-31,75.34
2020-11-01,74.51
2020-11-02,74.41
2020-11-03,73.99
2020-11-04,74.32
2020-11-05,72.56
2020-11-06,73.37
2020-11-07,74.42
2020-11-08,72.79
2020-11-09,74.18
2020-11-10,73.12
2020-11-11,74.94
2020-11-12,74.63
2020-11-13,75.47
2020-11-14,75.22
2020-11-15,74.79
2020-11-16,74.82
2020-11-17,74
2020-11-18,74.62
2020-11-19,74.32
2020-11-20,75.83
2020-11-21,74.69
2020-11-22,72.8
2020-11-23,74.64
2020-11-24,73.1
2020-11-25,75.11
2020-11-26,74.82
2020-11-27,73.51
2020-11-28,72.19
2020-11-29,72.5
2020-11-30,73.52
2020-12-01,74.35
2020-12-02,74.96
2020-12-03,74.79
2020-12-04,75.75
2020-12-05,74.03
2020-12-06,74.23
2020-12-07,74.91
2020-12-08,74.83
2020-12-09,74.78
2020-12-10,75.04
2020-12-11,73.75
2020-12-12,74.88
2020-12-13,73.64
2020-12-14,74.65
2020-12-15,73.97
2020-12-16,74.48
2020-12-17,75.04
2020-12-18,73.9
2020-12-19,74.24
2020-12-20,74.36
2020-12-21,74.62
2020-12-22,74.73
2020-12-23,75.74
2020-12-24,74.67
2020-12-25,75.23
2020-12-26,72.86
2020-12-27,74.75
2020-12-28,76.15
2020-12-29,74.56
2020-12-30,75.58
2020-12-31,76.21
2021-01-01,77.04
2021-01-02,74.79
2021-01-03,75.89
2021-01-04,74.75
2021-01-05,73.67
2021-01-06,74.98
2021-01-07,73.42
2021-01-08,72.66
2021-01-09,73.93
2021-01-10,71.47
2021-01-11,72.88
2021-01-12,73.19
2021-01-13,72.8
2021-01-14,74.28
2021-01-15,74.84
2021-01-16,74.06
2021-01-17,71.76
2021-01-18,73.2
2021-01-19,71.45
2021-01-20,72.98
2021-01-21,73.53
2021-01-22,72.69
2021-01-23,73.33
2021-01-24,72.95
2021-01-25,72.39
2021-01-26,73.89
2021-01-27,73.95
2021-01-28,74.15
2021-01-29,74.27
2021-01-30,73.69
2021-01-31,73.39
2021-02-01,74.37
2021-02-02,73.35
2021-02-03,71.91
2021-02-04,73.53
2021-02-05,73.49
2021-02-06,71.55
2021-02-07,72.52
2021-02-08,71.62
2021-02-09,72.32
2021-02-10,72.91
2021-02-11,73.04
2021-02-12,72.19
2021-02-13,71.97
2021-02-14,70.32
2021-02-15,71.15
2021-02-16,69.97
2021-02-17,71.96
2021-02-18,71.53
