areaCode,areaName,areaType,date,newPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2021-06-15,230666
K02000001,United Kingdom,overview,2021-06-14,235928
K02000001,United Kingdom,overview,2021-06-13,181121
K02000001,United Kingdom,overview,2021-06-12,320326
K02000001,United Kingdom,overview,2021-06-11,307192
K02000001,United Kingdom,overview,2021-06-10,308038
K02000001,United Kingdom,overview,2021-06-09,316258
K02000001,United Kingdom,overview,2021-06-08,313482
K02000001,United Kingdom,overview,2021-06-07,306068
K02000001,United Kingdom,overview,2021-06-06,259941
K02000001,United Kingdom,overview,2021-06-05,473378
K02000001,United Kingdom,overview,2021-06-04,388031
K02000001,United Kingdom,overview,2021-06-03,377641
K02000001,United Kingdom,overview,2021-06-02,349019
K02000001,United Kingdom,overview,2021-06-01,338565
K02000001,United Kingdom,overview,2021-05-31,195546
K02000001,United Kingdom,overview,2021-05-30,206322
K02000001,United Kingdom,overview,2021-05-29,418848
K02000001,United Kingdom,overview,2021-05-28,435951
K02000001,United Kingdom,overview,2021-05-27,434096
K02000001,United Kingdom,overview,2021-05-26,427458
K02000001,United Kingdom,overview,2021-05-25,387987
K02000001,United Kingdom,overview,2021-05-24,332955
K02000001,United Kingdom,overview,2021-05-23,252139
K02000001,United Kingdom,overview,2021-05-22,556951
K02000001,United Kingdom,overview,2021-05-21,426683
K02000001,United Kingdom,overview,2021-05-20,420312
K02000001,United Kingdom,overview,2021-05-19,369018
K02000001,United Kingdom,overview,2021-05-18,324001
K02000001,United Kingdom,overview,2021-05-17,259049
K02000001,United Kingdom,overview,2021-05-16,183745
K02000001,United Kingdom,overview,2021-05-15,391246
K02000001,United Kingdom,overview,2021-05-14,393402
K02000001,United Kingdom,overview,2021-05-13,428041
K02000001,United Kingdom,overview,2021-05-12,452437
K02000001,United Kingdom,overview,2021-05-11,350147
K02000001,United Kingdom,overview,2021-05-10,231835
K02000001,United Kingdom,overview,2021-05-09,187171
K02000001,United Kingdom,overview,2021-05-08,438837
K02000001,United Kingdom,overview,2021-05-07,465822
K02000001,United Kingdom,overview,2021-05-06,473001
K02000001,United Kingdom,overview,2021-05-05,404226
K02000001,United Kingdom,overview,2021-05-04,257486
K02000001,United Kingdom,overview,2021-05-03,127499
K02000001,United Kingdom,overview,2021-05-02,172891
K02000001,United Kingdom,overview,2021-05-01,372304
K02000001,United Kingdom,overview,2021-04-30,421785
K02000001,United Kingdom,overview,2021-04-29,491567
K02000001,United Kingdom,overview,2021-04-28,462885
K02000001,United Kingdom,overview,2021-04-27,379265
K02000001,United Kingdom,overview,2021-04-26,304688
K02000001,United Kingdom,overview,2021-04-25,260801
K02000001,United Kingdom,overview,2021-04-24,547636
K02000001,United Kingdom,overview,2021-04-23,465015
K02000001,United Kingdom,overview,2021-04-22,431070
K02000001,United Kingdom,overview,2021-04-21,416784
K02000001,United Kingdom,overview,2021-04-20,350027
K02000001,United Kingdom,overview,2021-04-19,273751
K02000001,United Kingdom,overview,2021-04-18,221193
K02000001,United Kingdom,overview,2021-04-17,499635
K02000001,United Kingdom,overview,2021-04-16,499664
K02000001,United Kingdom,overview,2021-04-15,417683
K02000001,United Kingdom,overview,2021-04-14,343783
K02000001,United Kingdom,overview,2021-04-13,312685
K02000001,United Kingdom,overview,2021-04-12,201191
K02000001,United Kingdom,overview,2021-04-11,189665
K02000001,United Kingdom,overview,2021-04-10,475230
K02000001,United Kingdom,overview,2021-04-09,450136
K02000001,United Kingdom,overview,2021-04-08,449269
K02000001,United Kingdom,overview,2021-04-07,408396
K02000001,United Kingdom,overview,2021-04-06,186793
K02000001,United Kingdom,overview,2021-04-05,64590
K02000001,United Kingdom,overview,2021-04-04,47708
K02000001,United Kingdom,overview,2021-04-03,178913
K02000001,United Kingdom,overview,2021-04-02,246631
K02000001,United Kingdom,overview,2021-04-01,445416
K02000001,United Kingdom,overview,2021-03-31,387574
K02000001,United Kingdom,overview,2021-03-30,277682
K02000001,United Kingdom,overview,2021-03-29,168230
K02000001,United Kingdom,overview,2021-03-28,147594
K02000001,United Kingdom,overview,2021-03-27,238861
K02000001,United Kingdom,overview,2021-03-26,283654
K02000001,United Kingdom,overview,2021-03-25,234382
K02000001,United Kingdom,overview,2021-03-24,242642
K02000001,United Kingdom,overview,2021-03-23,169155
K02000001,United Kingdom,overview,2021-03-22,82300
K02000001,United Kingdom,overview,2021-03-21,52612
K02000001,United Kingdom,overview,2021-03-20,91977
K02000001,United Kingdom,overview,2021-03-19,125725
K02000001,United Kingdom,overview,2021-03-18,132016
K02000001,United Kingdom,overview,2021-03-17,119609
K02000001,United Kingdom,overview,2021-03-16,95799
K02000001,United Kingdom,overview,2021-03-15,53366
K02000001,United Kingdom,overview,2021-03-14,25371
K02000001,United Kingdom,overview,2021-03-13,52155
K02000001,United Kingdom,overview,2021-03-12,87676
K02000001,United Kingdom,overview,2021-03-11,93563
K02000001,United Kingdom,overview,2021-03-10,97162
K02000001,United Kingdom,overview,2021-03-09,72922
K02000001,United Kingdom,overview,2021-03-08,38788
K02000001,United Kingdom,overview,2021-03-07,20241
K02000001,United Kingdom,overview,2021-03-06,31562
K02000001,United Kingdom,overview,2021-03-05,56772
K02000001,United Kingdom,overview,2021-03-04,70206
K02000001,United Kingdom,overview,2021-03-03,68450
K02000001,United Kingdom,overview,2021-03-02,51314
K02000001,United Kingdom,overview,2021-03-01,28282
K02000001,United Kingdom,overview,2021-02-28,19684
K02000001,United Kingdom,overview,2021-02-27,27322
K02000001,United Kingdom,overview,2021-02-26,32773
K02000001,United Kingdom,overview,2021-02-25,35319
K02000001,United Kingdom,overview,2021-02-24,31613
K02000001,United Kingdom,overview,2021-02-23,26317
K02000001,United Kingdom,overview,2021-02-22,18463
