date,fngvalue,MHI,MCI,year
2021-07-20,19,23.7,64.94,2021
2021-07-19,24,23.77,61.89,2021
2021-07-18,19,22.7,62.84,2021
2021-07-17,15,22.36,64.92,2021
2021-07-16,22,21.2,64.52,2021
2021-07-15,20,21.15,64.78,2021
2021-07-14,21,21.49,64.74,2021
2021-07-13,20,22.23,63.21,2021
2021-07-12,25,20.16,61.12,2021
2021-07-11,20,19.18,61.41,2021
2021-07-10,20,20.31,63.95,2021
2021-07-09,20,20.55,64.81,2021
2021-07-08,20,18.88,63.87,2021
2021-07-07,28,18.36,62.27,2021
2021-07-06,20,21.65,60.8,2021
2021-07-05,29,21.26,60.36,2021
2021-07-04,27,18.75,60.21,2021
2021-07-03,24,20.01,62.9,2021
2021-07-02,21,20.68,63.89,2021
2021-07-01,28,19.7,64.3,2021
2021-06-30,28,20.36,63.93,2021
2021-06-29,25,20.85,63.03,2021
2021-06-28,25,20.21,59.79,2021
2021-06-27,22,21.16,64.42,2021
2021-06-26,20,20.58,62.88,2021
2021-06-25,27,19.33,64.37,2021
2021-06-24,22,19.71,65.28,2021
2021-06-23,14,20.3,64.79,2021
2021-06-22,10,20.73,64.72,2021
2021-06-21,23,17.81,60.33,2021
2021-06-20,21,21.22,63.33,2021
2021-06-19,23,22.41,63.72,2021
2021-06-18,25,20.58,65.21,2021
2021-06-17,26,20.6,65.49,2021
2021-06-16,33,21.74,65.83,2021
2021-06-15,38,21.05,65.6,2021
2021-06-14,28,25.27,62.77,2021
2021-06-13,23,22.8,62.35,2021
2021-06-12,28,23.39,64.43,2021
2021-06-11,21,22.55,65.88,2021
2021-06-10,21,22.26,65.57,2021
2021-06-09,14,20.29,63.69,2021
2021-06-08,13,20.84,64.88,2021
2021-06-07,15,20.61,61.75,2021
2021-06-06,17,20.57,64.72,2021
2021-06-05,24,23.26,65.38,2021
2021-06-04,27,22.11,66.05,2021
2021-06-03,24,21.69,66.62,2021
2021-06-02,23,22.74,66.25,2021
2021-06-01,20,23.91,64.27,2021
2021-05-31,18,23.38,63.98,2021
2021-05-30,10,23.44,66.84,2021
2021-05-29,18,22.33,65.5,2021
2021-05-28,21,22.92,66.72,2021
