date,fngvalue,MHI,MCI,year
2020-01-29,57,9.06,34.2,2020
2020-01-28,54,7.79,31.94,2020
2020-01-27,50,8.93,37.63,2020
2020-01-26,42,7.91,31.91,2020
2020-01-25,41,6.21,28.89,2020
2020-01-24,40,5.36,24.7,2020
2020-01-23,49,4.27,21.91,2020
2020-01-22,52,3.27,19.85,2020
2020-01-21,49,1.26,12.96,2020
2020-01-20,48,0.86,13.62,2020
2020-01-19,53,0.77,11.44,2020
2020-01-18,51,0.49,9.31,2020
2020-01-17,54,0.25,5.99,2020
2020-01-16,55,0.16,4.68,2020
2020-01-15,54,0.12,3.3,2020
2020-01-14,56,0.16,4.27,2020
2020-01-13,49,0.15,3.1,2020
2020-01-12,45,0.39,8.19,2020
2020-01-11,50,0.05,1.88,2020
2020-01-10,41,0.21,6.1,2020
2020-01-09,44,0.02,0.95,2020
2020-01-08,51,0.02,0.66,2020
2020-01-07,40,0.05,1.59,2020
2020-01-06,41,0.04,1.19,2020
2020-01-05,39,0.02,0.67,2020
2020-01-04,38,0.03,1.07,2020
2020-01-03,38,0,0.2,2020
2020-01-02,39,0.01,0.3,2020
2020-01-01,37,0,0.09,2020
